company,role_title,interview_outcome,review_text,date
Barclays,Data Analyst,No Offer ,Two stage process which involved a teams meeting with hiring manager. Then invited for face to face with HR and hiring manager. Both of the interviews lasted between 45 mins and an hour,2026-05-21
Barclays,Data Analyst,No Offer ,"I had to complete an online video interview. It took around 30 min, I had 30 seconds to prepare and had to talk for 2 min. They were mostly personality questions with some situational awareness questions also.",2020-03-05
Barclays,Data Analyst,No Offer ,"After being selected from the initial application, you are asked to complete a workplace/character assessment to see if you'll be a good fit in the company. It would be best to answer this as if you were a personality hire and that you value diversity and collaboration as a priority, rather than what suits your role.",2025-05-27
HSBC,Data Analyst,No Offer ,"The interview process was structured and professional. It included technical questions on SQL, Excel, and data visualization, plus behavioral questions assessing teamwork, communication, and problem-solving. Covered general questions for the role.",2025-10-30
HSBC,Data Analyst,Got Offer,"First round will be asking some basic behaviour question. If pass, then there will be several rounds of technical interviews, with more senior people. After that you can expect a python coding test.",2025-05-23
Lloyds Bank,Data Analyst,No Offer ,"Apply Online: Submit CV and role-specific questions. Online Tests: Numerical, verbal reasoning & situational judgment. Screen Call: 10-15 min recruiter chat on background and fit. Video Interview: Pre-recorded competency & why data analytics? questions. Assessment Day: Group case exercise, data-focused case study, presentation, plus a 1:1 with hiring manager. Final Interview: Technical deep-dive (SQL/Python) and cultural-fit discussion, then offer",2025-06-08
Lloyds Bank,Data Analyst,Got Offer,"Data Analyst interview 2 rounds, 1 round hr manager round involves self intro, behavioral round, past experience, 1 hour and 2nd round technical round for 30 minutes. 2nd round is your technical experience what are the tools you used",2025-08-18
Bloomberg,Data Analyst,No Offer ,"It was smooth with basic code challenges and behavioural questions. I initially went through the screening process, which included my background and interest in the role. I was moved to the next stage of the technical assessment, which included questions on Python, Pandas, and SQL to answer.",2025-10-08
Bloomberg,Data Analyst,No Offer ,"interview three stages Initial Interview (Phone/Video) Often with HR or a recruiter to assess your general fit for the role. Technical Assessment last one with head of data Combines behavioral, technical, and situational questions. Often includes senior management to assess strategic fit and alignment with company values.",2024-12-09
Bloomberg,Data Analyst,Got Offer,"HR reached out on LinkedIn and I applied through a Recruiter. The process is well structured and consists of 4 rounds, 2 technicals covering general topics (ML basics, Data Structures and Python Coding basic problems, Taxonomies, EDA with Pandas). Last two rounds are with HR and Senior manager, where behavioral questions were asked. Overall, the recruiting process was great ,the interviewers were nice and approachable and HR was really responsive in giving feedback after each round.",2024-02-19
