title,company,location,description,created
Graduate Investment Data Analyst Programme Central London,Regal Brooke Limited,"Manchester, Greater Manchester","Graduate Investment Data Analyst Programme Central London | Global Investment & Asset Management Group Starting Salary: 42,000  50,000 per annum Performance Bonus Scheme Private Medical Insurance Hybrid Working Opportunities International Career Development Pathways Exceptional Pension & Wellbeing Package Turn Data Into Investment Decisions Are you a graduate with a passion for data, financial markets, technology, and problem solving? Our Graduate Investment Data Analyst Programme offers an ",2026-06-12 19:23:45+00:00
Graduate Investment Data Analyst Programme Central London,Regal Brooke Limited,"London, UK","Graduate Investment Data Analyst Programme Central London | Global Investment & Asset Management Group Starting Salary: 42,000  50,000 per annum Performance Bonus Scheme Private Medical Insurance Hybrid Working Opportunities International Career Development Pathways Exceptional Pension & Wellbeing Package Turn Data Into Investment Decisions Are you a graduate with a passion for data, financial markets, technology, and problem solving? Our Graduate Investment Data Analyst Programme offers an ",2026-06-12 19:23:10+00:00
Junior Data Analyst,MCS Group,"Belfast, Northern Ireland","Junior Data Analyst Belfast | Hybrid Working (3 Days Office / 2 Days Home) 30,000 - 35,000  Excellent Career Development This is an exciting opportunity to join a business that is heavily investing in digital transformation, data, automation and AI. Working alongside a Data Engineer and reporting into the Business Transformation function, you will play a key role in delivering data-driven insights, supporting strategic decision-making and helping shape the future use of modern technologies ac",2026-06-10 20:30:49+00:00
Junior Data Analyst,IO Sphere,"Oxfordshire, South East England","A smarter way to get hired as a Data Professional. Most entry-level data jobs want experience you can't get without a job. We've built a different route in. iO-Sphere works with employer partners to hire data analystsbut instead of filtering CVs, we select candidates through a 10-week fully-funded training programme where you prove what you can do with real data. Our partners then hire the best directly from the cohort The whole thing is funded by Enterprise Oxford. Free for you. No fees for e",2026-06-13 00:07:09+00:00
Junior Data Analyst,Cameron Clarke Associates,"Blacon, Chester","Junior Data Analyst Money Expert  Chester | Full-Time, Permanent | 28,000  30,000 DOE This is an office based role - working from the Chester office - only applicants within a commutable distance will be considered. About Money Expert Money Expert is one of the UK's leading independent comparison platforms, helping consumers make smarter decisions across energy, insurance, credit, and more. Our contact centre is central to how we deliver value  and this role sits right at the heart of it. ",2026-06-08 19:18:30+00:00
Junior Data Analyst,Seven Investment Management,"London, UK","Purpose Reporting to the Data & Analytics Product Owner, this role will support with the development and progression of 7IMs business intelligence and insight capability. Sitting within the Data & Analytics team, this role will have direct involvement in building dashboards, insight tools and supporting key stakeholders with data-driven decision making. The role would suit an ambitious and driven junior individual who is looking for an opportunity to advance their understanding of data, workin",2026-05-06 21:56:26+00:00
Junior Data Analyst,Runshaw College,"Farington, Leyland","JUNIOR DATA ANALYST - REF 2605120 Up to 31,789 p.a. We offer a competitive benefits package, including 2,193 p.a. in employer pension contributions Runshaw College is one of the most successful colleges in the country, renowned locally and nationally for our outstanding results, friendly and supportive culture and focus on putting the student at the heart of all that we do. We value our staff and students highly, and invest heavily in their development, support and wellbeing. Situated in Leyl",2026-05-30 11:02:21+00:00
Junior Data Analyst,Back TO Work,"Hazel Grove, Stockport","Salary: 26,000 - 26,000 per year Requirements: Independent skills Team work skills Organisational skills Good written and oral communication skills Self-Motivated Responsibilities: Collect, clean, and analyse large datasets to uncover trends, patterns, and insights. Develop and maintain data pipelines and workflows to ensure data integrity and accessibility. Design and implement data models and visualizations to communicate findings to stakeholders. Collaborate with cross-functional teams to i",2026-06-12 09:55:37+00:00
Junior Data Analyst,Back TO Work,"Stanley, Liverpool",Our client is a young and growing IT transformation company. This is an exciting opportunity for a highly motivated individual to work as part of their rapidly growing and experienced team. This is a rare opportunity to train alongside experienced professionals and gain exposure to a range of technologies across front ended and backend transformation projects. KEY DUTIES * Creating and maintaining the companys database * Providing support of data-related activities across delivery teams. * Man,2026-06-11 17:45:47+00:00
Junior Data Analyst,Money Expert,"Chester, Cheshire","Money Expert Junior Data Analyst Location: Chester Job Type: Full-Time Salary: 28,00030,000 DOE This is an office-based role - working from the Chester office - only applicants within a commutable distance will be considered. About Money Expert Money Expert is one of the UK's leading independent comparison platforms, helping consumers make smarter decisions across energy, insurance, credit, and more. Our contact centre is central to how we deliver value and this role sits right at the heart o",2026-06-09 03:55:58+00:00
